what,kind,bundleId,bundleVersion,description,time
arch,sysinfo,,,"x86",1594630195664
ws,sysinfo,,,"win32",1594630195664
locale,sysinfo,,,"es_ES",1594630195664
processors,sysinfo,,,"4",1594630195664
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1594630195664
java.runtime.version,sysinfo,,,"1.7.0_79-b15",1594630195664
java.specification.name,sysinfo,,,"Java Platform API Specification",1594630195664
java.specification.vendor,sysinfo,,,"Oracle Corporation",1594630195664
java.specification.version,sysinfo,,,"1.7",1594630195664
java.vendor,sysinfo,,,"Oracle Corporation",1594630195664
java.version,sysinfo,,,"1.7.0_79",1594630195664
java.vm.info,sysinfo,,,"mixed mode",1594630195664
java.vm.name,sysinfo,,,"Java HotSpot(TM) Server VM",1594630195664
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1594630195664
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1594630195664
java.vm.specification.version,sysinfo,,,"1.7",1594630195664
java.vm.vendor,sysinfo,,,"Oracle Corporation",1594630195664
java.vm.version,sysinfo,,,"24.79-b02",1594630195664
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1594630196477
started,bundle,com.liferay.ide.eclipse.sdk,1.5.2.v201203041037,"com.liferay.ide.eclipse.sdk",1594630196522
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1594630196633
started,bundle,org.eclipse.wst.dtd.core,1.1.501.v201107252021,"org.eclipse.wst.dtd.core",1594630196662
started,bundle,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui",1594630196669
started,bundle,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.ui",1594630196672
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1594630196706
started,bundle,org.eclipse.jst.jsf.common,1.2.3.v201104061039,"org.eclipse.jst.jsf.common",1594630196725
started,bundle,org.eclipse.jst.jsf.core,1.3.105.v201108261005,"org.eclipse.jst.jsf.core",1594630196737
started,bundle,org.eclipse.jst.jsp.core,1.2.402.v201112071853,"org.eclipse.jst.jsp.core",1594630196785
started,bundle,com.liferay.ide.eclipse.portlet.core,1.5.2.v201203041037,"com.liferay.ide.eclipse.portlet.core",1594630196838
started,bundle,com.liferay.ide.eclipse.layouttpl.core,1.5.2.v201203041037,"com.liferay.ide.eclipse.layouttpl.core",1594630196843
started,bundle,org.eclipse.wst.wsdl.validation,1.1.502.v201104071820,"org.eclipse.wst.wsdl.validation",1594630196883
started,bundle,org.eclipse.wst.xsd.core,1.1.600.v201104070312,"org.eclipse.wst.xsd.core",1594630196887
started,bundle,org.eclipse.wst.xsl.core,1.1.100.v201102270516,"org.eclipse.wst.xsl.core",1594630196898
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1594630200153
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1594630204049
error,log,,,"Errors occurred during the build.",1594630204124
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1594630204157
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1594630208252
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1594630211185
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1594630225680
started,bundle,com.liferay.ide.eclipse.theme.core,1.5.2.v201203041037,"com.liferay.ide.eclipse.theme.core",1594630230339
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.debug",1594630237473
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1594630237474
started,bundle,org.eclipse.jst.server.tomcat.ui,1.1.200.v20100418,"org.eclipse.jst.server.tomcat.ui",1594630287145
error,log,,,"Publishing failed with multiple errors",1594630287305
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1594630287363
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1594630287383
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1594630287460
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1594630287637
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1594630293936
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1594630408373
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1594630834694
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1594630839087
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1594630856398
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1594630988656
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1594630990254
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.debug",1594630991889
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1594631130632
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1594631270093
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1594631272413
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1594631378773
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1594631389594
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1594631425729
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.debug",1594631530053
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1594631614781
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1594631730649
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1594631745520
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1594631751799
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1594631795756
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1594631832966
